Name,Year_of_Release,Rating
1.      Pather Panchali(1955),(1955),8.5
2.      Gol Maal(1979),(1979),8.5
3.      Nayakan(1987),(1987),8.5
4.      Anbe Sivam(2003),(2003),8.5
5.      Apur Sansar(1959),(1959),8.5
6.      Pariyerum Perumal(2018),(2018),8.4
7.      C/o Kancharapalem(2018),(2018),8.4
8.      Natsamrat(2016),(2016),8.4
9.      Drishyam 2(2021),(2021),8.4
10.      Kireedam(1989),(1989),8.4
11.      Manichitrathazhu(1993),(1993),8.4
12.      Black Friday(2004),(2004),8.4
13.      Thevar Magan(1992),(1992),8.4
14.      96(2018),(2018),8.4
15.      Kumbalangi Nights(2019),(2019),8.4
16.      3 Idiots(2009),(2009),8.4
17.      Taare Zameen Par(2007),(2007),8.3
18.      Visaaranai(2015),(2015),8.3
19.      Dangal(2016),(2016),8.3
20.      Ratsasan(2018),(2018),8.3
21.      Thalapathi(1991),(1991),8.3
22.      Aparajito(1956),(1956),8.3
23.      Jaane Bhi Do Yaaro(1983),(1983),8.3
24.      Pyaasa(1957),(1957),8.3
25.      Guide(1965),(1965),8.3
26.      Jersey(2019),(2019),8.3
27.      Kannathil Muthamittal(2002),(2002),8.3
28.      Chupke Chupke(1975),(1975),8.2
29.      Asuran(2019),(2019),8.2
30.      Kaithi(2019),(2019),8.2
31.      Thani Oruvan(2015),(2015),8.2
32.      Anand(1971),(1971),8.2
33.      Vada Chennai(2018),(2018),8.2
34.      Peranbu(2018),(2018),8.2
35.      Drishyam(2013),(2013),8.2
36.      Vikram Vedha(2017),(2017),8.2
37.      Iruvar(1997),(1997),8.2
38.      Soorarai Pottru(2020),(2020),8.2
39.      Aruvi(2016),(2016),8.2
40.      Khosla Ka Ghosla!(2006),(2006),8.2
41.      Super Deluxe(2019),(2019),8.2
42.      Agent Sai Srinivasa Athreya(2019),(2019),8.2
43.      Tumbbad(2018),(2018),8.2
44.      Mahanati(2018),(2018),8.2
45.      Andhadhun(2018),(2018),8.2
46.      Kaakkaa Muttai(2014),(2014),8.2
47.      Premam(2015),(2015),8.2
48.      Satya(1998),(1998),8.2
49.      Shahid(2012),(2012),8.2
50.      Anniyan(2005),(2005),8.2
51.      Dhuruvangal Pathinaaru(2016),(2016),8.2
52.      Bangalore Days(2014),(2014),8.2
53.      Mudhalvan(1999),(1999),8.2
54.      Papanasam(2015),(2015),8.1
55.      Soodhu Kavvum(2013),(2013),8.1
56.      Gangs of Wasseypur(2012),(2012),8.1
57.      Jigarthanda(2014),(2014),8.1
58.      Bhaag Milkha Bhaag(2013),(2013),8.1
59.      Sairat(2016),(2016),8.1
60.      Paan Singh Tomar(2012),(2012),8.1
61.      Sholay(1975),(1975),8.1
"62.      Swades: We, the People(2004)",(2004),8.1
63.      Talvar(2015),(2015),8.1
64.      Hera Pheri(2000),(2000),8.1
65.      Pithamagan(2003),(2003),8.1
66.      Charulata(1964),(1964),8.1
67.      Drishyam(2015),(2015),8.1
68.      Nil Battey Sannata(2015),(2015),8.1
69.      Chak De! India(2007),(2007),8.1
70.      Black(2005),(2005),8.1
71.      Mughal-E-Azam(1960),(1960),8.1
72.      Jo Jeeta Wohi Sikandar(1992),(1992),8.1
73.      Udaan(2010),(2010),8.1
74.      Ustad Hotel(2012),(2012),8.1
75.      Zindagi Na Milegi Dobara(2011),(2011),8.1
76.      A Wednesday(2008),(2008),8.1
77.      Article 15(2019),(2019),8.1
78.      Queen(2013),(2013),8.1
79.      Rang De Basanti(2006),(2006),8.1
80.      Munna Bhai M.B.B.S.(2003),(2003),8.1
81.      Dil Chahta Hai(2001),(2001),8.1
82.      Maheshinte Prathikaaram(2016),(2016),8.1
83.      Sarfarosh(1999),(1999),8.1
84.      Masaan(2015),(2015),8.1
85.      OMG: Oh My God!(2012),(2012),8.1
86.      Andaz Apna Apna(1994),(1994),8.1
87.      Roja(1992),(1992),8.1
88.      Alai Payuthey(2000),(2000),8.1
89.      Lagaan: Once Upon a Time in India(2001),(2001),8.1
90.      Baasha(1995),(1995),8.1
91.      Theeran adhigaaram ondru(2017),(2017),8.1
92.      Kahaani(2012),(2012),8.1
93.      PK(2014),(2014),8.1
94.      Lucia(2013),(2013),8.1
95.      Iqbal(2005),(2005),8.1
96.      Uri: The Surgical Strike(2018),(2018),8.1
97.      The Legend of Bhagat Singh(2002),(2002),8.1
98.      Barfi!(2012),(2012),8.0
99.      Pink(2016),(2016),8.0
100.      Bommarillu(2006),(2006),8.0
