Movie_Name,Release_Year,Movie_Rating
1.      The Shawshank Redemption(1994),(1994),9.2
2.      The Godfather(1972),(1972),9.1
3.      The Godfather: Part II(1974),(1974),9.0
4.      The Dark Knight(2008),(2008),9.0
5.      12 Angry Men(1957),(1957),8.9
6.      Schindler's List(1993),(1993),8.9
7.      The Lord of the Rings: The Return of the King(2003),(2003),8.9
8.      Pulp Fiction(1994),(1994),8.8
"9.      Il buono, il brutto, il cattivo(1966)",(1966),8.8
10.      The Lord of the Rings: The Fellowship of the Ring(2001),(2001),8.8
11.      Fight Club(1999),(1999),8.8
12.      Forrest Gump(1994),(1994),8.8
13.      Inception(2010),(2010),8.7
14.      The Lord of the Rings: The Two Towers(2002),(2002),8.7
15.      Star Wars: Episode V - The Empire Strikes Back(1980),(1980),8.7
16.      The Matrix(1999),(1999),8.6
17.      Goodfellas(1990),(1990),8.6
18.      One Flew Over the Cuckoo's Nest(1975),(1975),8.6
19.      Shichinin no samurai(1954),(1954),8.6
20.      Se7en(1995),(1995),8.6
21.      La vita è bella(1997),(1997),8.6
22.      Cidade de Deus(2002),(2002),8.6
23.      The Silence of the Lambs(1991),(1991),8.6
24.      It's a Wonderful Life(1946),(1946),8.6
25.      Saving Private Ryan(1998),(1998),8.6
26.      Star Wars(1977),(1977),8.6
27.      The Green Mile(1999),(1999),8.5
28.      Sen to Chihiro no kamikakushi(2001),(2001),8.5
29.      Interstellar(2014),(2014),8.5
30.      Gisaengchung(2019),(2019),8.5
31.      Léon(1994),(1994),8.5
32.      Seppuku(1962),(1962),8.5
33.      The Lion King(1994),(1994),8.5
34.      The Usual Suspects(1995),(1995),8.5
35.      The Pianist(2002),(2002),8.5
36.      Terminator 2: Judgment Day(1991),(1991),8.5
37.      Back to the Future(1985),(1985),8.5
38.      American History X(1998),(1998),8.5
39.      Modern Times(1936),(1936),8.5
40.      Gladiator(2000),(2000),8.5
41.      Psycho(1960),(1960),8.5
42.      The Departed(2006),(2006),8.5
43.      City Lights(1931),(1931),8.5
44.      Whiplash(2014),(2014),8.5
45.      The Intouchables(2011),(2011),8.5
46.      Hotaru no haka(1988),(1988),8.5
47.      The Prestige(2006),(2006),8.5
48.      Once Upon a Time in the West(1968),(1968),8.4
49.      Casablanca(1942),(1942),8.4
50.      Nuovo Cinema Paradiso(1988),(1988),8.4
51.      Rear Window(1954),(1954),8.4
52.      Alien(1979),(1979),8.4
53.      Apocalypse Now(1979),(1979),8.4
54.      Memento(2000),(2000),8.4
55.      The Great Dictator(1940),(1940),8.4
56.      Raiders of the Lost Ark(1981),(1981),8.4
57.      Django Unchained(2012),(2012),8.4
58.      The Lives of Others(2006),(2006),8.4
59.      Paths of Glory(1957),(1957),8.4
60.      WALL·E(2008),(2008),8.4
61.      Joker(2019),(2019),8.4
62.      Hamilton(2020),(2020),8.4
63.      The Shining(1980),(1980),8.4
64.      Avengers: Infinity War(2018),(2018),8.4
65.      Sunset Blvd.(1950),(1950),8.4
66.      Witness for the Prosecution(1957),(1957),8.4
67.      Spider-Man: Into the Spider-Verse(2018),(2018),8.3
68.      Oldeuboi(2003),(2003),8.3
69.      Mononoke-hime(1997),(1997),8.3
70.      Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb(1964),(1964),8.3
71.      The Dark Knight Rises(2012),(2012),8.3
72.      Once Upon a Time in America(1984),(1984),8.3
73.      Kimi no na wa.(2016),(2016),8.3
74.      Coco(2017),(2017),8.3
75.      Aliens(1986),(1986),8.3
76.      Avengers: Endgame(2019),(2019),8.3
77.      Capharnaüm(2018),(2018),8.3
78.      American Beauty(1999),(1999),8.3
79.      Braveheart(1995),(1995),8.3
80.      Tengoku to jigoku(1963),(1963),8.3
81.      Toy Story(1995),(1995),8.3
82.      3 Idiots(2009),(2009),8.3
83.      Das Boot(1981),(1981),8.3
84.      Amadeus(1984),(1984),8.3
85.      Inglourious Basterds(2009),(2009),8.3
86.      Good Will Hunting(1997),(1997),8.3
87.      Star Wars: Episode VI - Return of the Jedi(1983),(1983),8.3
88.      Taare Zameen Par(2007),(2007),8.3
89.      Reservoir Dogs(1992),(1992),8.3
90.      2001: A Space Odyssey(1968),(1968),8.3
91.      Requiem for a Dream(2000),(2000),8.3
92.      Jagten(2012),(2012),8.3
93.      Vertigo(1958),(1958),8.3
94.      M - Eine Stadt sucht einen Mörder(1931),(1931),8.3
95.      Eternal Sunshine of the Spotless Mind(2004),(2004),8.3
96.      Citizen Kane(1941),(1941),8.3
97.      Dangal(2016),(2016),8.3
98.      Idi i smotri(1985),(1985),8.2
99.      The Kid(1921),(1921),8.2
100.      Singin' in the Rain(1952),(1952),8.2
